id_dziczy,nazwa_dziczy,id_regionu
1,Łąka,1
2,Las,1
3,Wybrzeże,1
4,Morze,1
5,Góry,1
6,Jaskinie,1
7,Opuszczone Miasto,1
8,Safari,1
11,Równina,2
12,Puszcza,2
13,Jezioro,2
14,Wulkan,2
15,Ruiny Miasta,2
16,Park Narodowy,2
20,Alejka Spacerowa,3
21,Pustynia,3
22,Głębina,3
23,Ogród,3
24,Opuszczona Elektrownia,3
25,Nawiedzona Wieża,3
26,Meteorytowa Góra,3
30,Gęsty Zagajnik,4
31,Dolina Wiatraków,4
32,Koronny Szczyt,4
33,Potrójny Staw,4
34,Pustynia Lodowa,4
35,Wielkie Bagna,4
37,Ranczo,5
38,Most Zwodzony Driftveil,5
39,Cudowny Most,5
40,Strzelisty Most,5
41,Most Sieci Metra,5
42,Wiejski Most,5
43,Jaskinia Elektrokamieni,5
44,Reliktowy Zamek,5
46,Francuski Labirynt,6
47,Lazurowa Zatoka,6
48,Mroczna Gęstwina,6
49,Lustrzana Grota,6
50,Oszroniona Pieczara,6
51,Przyjazne Safari,6
52,Wzgórze Strumyków,7
53,Bujna Dżungla,7
54,Plaża Wielkiej Fali,7
55,Wulkaniczny Park,7
56,Wielki Kanion Poni,7
57,Góra Lanakila,7
